state,x,y
Andhra Pradesh,-71.0,-168.0
Arunachal Pradesh,227.0,113.0
Assam,194.0,70.0
Bihar,63.0,57.0
Chhattisgarh,-13.0,-33.0
Goa,-160.0,-160.0
Gujarat,-212.0,1.0
Haryana,-118.0,128.0
Himachal Pradesh,-117.0,251.0
Jharkhand,48.0,8.0
Karnataka,-132.0,-175.0
Kerala,-116.0,-254.0
Madhya Pradesh,-87.0,-2.0
Maharashtra,-141.0,-81.0
Manipur,218.0,31.0
Meghalaya,165.0,46.0
Mizoram,198.0,6.0
Nagaland,231.0,59.0
Odisha,33.0,-54.0
Punjab,-135.0,163.0
Rajasthan,-167.0,72.0
Sikkim,116.0,94.0
Tamil Nadu,-81.0,-245.0
Telangana,-68.0,-108.0
Tripura,177.0,9.0
Uttarakhand,-63.0,154.0
Uttar Pradesh,-39.0,77.0
West Bengal,102.0,-4.0
